Doba handlowa;OREB [Jednostka czasu od-do];Prognozowane zapotrzebowanie KSE [MW];Rzeczywiste zapotrzebowanie KSE [MW];Data publikacji
"2024-06-19";"00:00 - 00:15";15850;15970.759;"2025-01-30 15:15"
"2024-06-19";"00:15 - 00:30";15800;15883.087;"2025-01-30 15:15"
"2024-06-19";"00:30 - 00:45";15400;15550.836;"2025-01-30 15:15"
"2024-06-19";"00:45 - 01:00";15300;15388.995;"2025-01-30 15:15"
"2024-06-19";"01:00 - 01:15";15100;15375.713;"2025-01-30 15:15"
"2024-06-19";"01:15 - 01:30";15350;15097.872;"2025-01-30 15:15"
"2024-06-19";"01:30 - 01:45";15250;15048.237;"2025-01-30 15:15"
"2024-06-19";"01:45 - 02:00";15150;14954.564;"2025-01-30 15:15"
"2024-06-19";"02:00 - 02:15";15050;14826.966;"2025-01-30 15:15"
"2024-06-19";"02:15 - 02:30";15200;14804.162;"2025-01-30 15:15"
"2024-06-19";"02:30 - 02:45";15150;14811.653;"2025-01-30 15:15"
"2024-06-19";"02:45 - 03:00";15150;14830.209;"2025-01-30 15:15"
"2024-06-19";"03:00 - 03:15";15100;15004.306;"2025-01-30 15:15"
"2024-06-19";"03:15 - 03:30";15100;14868.609;"2025-01-30 15:15"
"2024-06-19";"03:30 - 03:45";14950;14740.01;"2025-01-30 15:15"
"2024-06-19";"03:45 - 04:00";14900;14708.233;"2025-01-30 15:15"
"2024-06-19";"04:00 - 04:15";14800;14829.691;"2025-01-30 15:15"
"2024-06-19";"04:15 - 04:30";14650;14843.455;"2025-01-30 15:15"
"2024-06-19";"04:30 - 04:45";14450;15052.303;"2025-01-30 15:15"
"2024-06-19";"04:45 - 05:00";14650;15205.278;"2025-01-30 15:15"
"2024-06-19";"05:00 - 05:15";14750;15392.521;"2025-01-30 15:15"
"2024-06-19";"05:15 - 05:30";15100;15608.296;"2025-01-30 15:15"
"2024-06-19";"05:30 - 05:45";15750;15716.518;"2025-01-30 15:15"
"2024-06-19";"05:45 - 06:00";16150;16240.911;"2025-01-30 15:15"
"2024-06-19";"06:00 - 06:15";17500;17421.738;"2025-01-30 15:15"
"2024-06-19";"06:15 - 06:30";18000;18143.117;"2025-01-30 15:15"
"2024-06-19";"06:30 - 06:45";18450;18522.568;"2025-01-30 15:15"
"2024-06-19";"06:45 - 07:00";19400;19130.893;"2025-01-30 15:15"
"2024-06-19";"07:00 - 07:15";20327;19717.395;"2025-01-30 15:15"
"2024-06-19";"07:15 - 07:30";20800;19894.018;"2025-01-30 15:15"
"2024-06-19";"07:30 - 07:45";21090;20112.22;"2025-01-30 15:15"
"2024-06-19";"07:45 - 08:00";21000;20199.547;"2025-01-30 15:15"
"2024-06-19";"08:00 - 08:15";20900;20825.533;"2025-01-30 15:15"
"2024-06-19";"08:15 - 08:30";21500;20848.49;"2025-01-30 15:15"
"2024-06-19";"08:30 - 08:45";21400;20868.965;"2025-01-30 15:15"
"2024-06-19";"08:45 - 09:00";21350;21014.23;"2025-01-30 15:15"
"2024-06-19";"09:00 - 09:15";21100;20640.215;"2025-01-30 15:15"
"2024-06-19";"09:15 - 09:30";21377;20776.424;"2025-01-30 15:15"
"2024-06-19";"09:30 - 09:45";21405;20559.395;"2025-01-30 15:15"
"2024-06-19";"09:45 - 10:00";20800;20516.371;"2025-01-30 15:15"
"2024-06-19";"10:00 - 10:15";20455;20680.36;"2025-01-30 15:15"
"2024-06-19";"10:15 - 10:30";20400;20692.195;"2025-01-30 15:15"
"2024-06-19";"10:30 - 10:45";20800;20953.516;"2025-01-30 15:15"
"2024-06-19";"10:45 - 11:00";20800;20694.451;"2025-01-30 15:15"
"2024-06-19";"11:00 - 11:15";20600;21156.393;"2025-01-30 15:15"
"2024-06-19";"11:15 - 11:30";20750;20659.27;"2025-01-30 15:15"
"2024-06-19";"11:30 - 11:45";21150;21115.143;"2025-01-30 15:15"
"2024-06-19";"11:45 - 12:00";21822;21077.176;"2025-01-30 15:15"
"2024-06-19";"12:00 - 12:15";22050;21098.46;"2025-01-30 15:15"
"2024-06-19";"12:15 - 12:30";22050;21117.002;"2025-01-30 15:15"
"2024-06-19";"12:30 - 12:45";22270;21006.012;"2025-01-30 15:15"
"2024-06-19";"12:45 - 13:00";22270;20935.3;"2025-01-30 15:15"
"2024-06-19";"13:00 - 13:15";22525;21169.232;"2025-01-30 15:15"
"2024-06-19";"13:15 - 13:30";22275;21145.223;"2025-01-30 15:15"
